Source.Name	Characteristics.individual.	Characteristics.organism.part.	Characteristics.developmental.stage.	Characteristics.treatment.
E4.2.13	E4.2.13	E4.2	embryo	embryonic day 4	No
E4.24_5_0_4.1	E4.24_5_0_4.1	E4.24_5_0_4	embryo	embryonic day 4	No
E4.24_5_0_4.10	E4.24_5_0_4.10	E4.24_5_0_4	embryo	embryonic day 4	No
E4.24_5_0_4.12	E4.24_5_0_4.12	E4.24_5_0_4	embryo	embryonic day 4	No
E4.24_5_0_4.2	E4.24_5_0_4.2	E4.24_5_0_4	embryo	embryonic day 4	No
E4.24_5_0_4.3	E4.24_5_0_4.3	E4.24_5_0_4	embryo	embryonic day 4	No
E4.24_5_0_4.4	E4.24_5_0_4.4	E4.24_5_0_4	embryo	embryonic day 4	No
E4.24_5_0_4.5	E4.24_5_0_4.5	E4.24_5_0_4	embryo	embryonic day 4	No
E4.24_5_0_4.7	E4.24_5_0_4.7	E4.24_5_0_4	embryo	embryonic day 4	No
E4.24_5_0_4.9	E4.24_5_0_4.9	E4.24_5_0_4	embryo	embryonic day 4	No
E4.3.472	E4.3.472	E4.3	embryo	embryonic day 4	No
E4.3.473	E4.3.473	E4.3	embryo	embryonic day 4	No
E4.3.476	E4.3.476	E4.3	embryo	embryonic day 4	No
E4.3.478	E4.3.478	E4.3	embryo	embryonic day 4	No
E4.3.479	E4.3.479	E4.3	embryo	embryonic day 4	No
E4.3.480	E4.3.480	E4.3	embryo	embryonic day 4	No
E4.3.481	E4.3.481	E4.3	embryo	embryonic day 4	No
E4.3.482	E4.3.482	E4.3	embryo	embryonic day 4	No
E4.3.484	E4.3.484	E4.3	embryo	embryonic day 4	No
E4.3.485	E4.3.485	E4.3	embryo	embryonic day 4	No
E4.3.486	E4.3.486	E4.3	embryo	embryonic day 4	No
E4.3.487	E4.3.487	E4.3	embryo	embryonic day 4	No
E4.3.488	E4.3.488	E4.3	embryo	embryonic day 4	No
E4.3.489	E4.3.489	E4.3	embryo	embryonic day 4	No
E4.3.490	E4.3.490	E4.3	embryo	embryonic day 4	No
E4.3.491	E4.3.491	E4.3	embryo	embryonic day 4	No
E4.31_5_1.10	E4.31_5_1.10	E4.31_5_1	embryo	embryonic day 4	No
E4.31_5_1.11	E4.31_5_1.11	E4.31_5_1	embryo	embryonic day 4	No
E4.31_5_1.12	E4.31_5_1.12	E4.31_5_1	embryo	embryonic day 4	No
E4.31_5_1.2	E4.31_5_1.2	E4.31_5_1	embryo	embryonic day 4	No
E4.31_5_1.3	E4.31_5_1.3	E4.31_5_1	embryo	embryonic day 4	No
E4.31_5_1.4	E4.31_5_1.4	E4.31_5_1	embryo	embryonic day 4	No
E4.31_5_1.6	E4.31_5_1.6	E4.31_5_1	embryo	embryonic day 4	No
E4.31_5_1.8	E4.31_5_1.8	E4.31_5_1	embryo	embryonic day 4	No
E4.31_5_1.9	E4.31_5_1.9	E4.31_5_1	embryo	embryonic day 4	No
E4.4.492	E4.4.492	E4.4	embryo	embryonic day 4	No
E4.4.493	E4.4.493	E4.4	embryo	embryonic day 4	No
E4.4.494	E4.4.494	E4.4	embryo	embryonic day 4	No
E4.4.495	E4.4.495	E4.4	embryo	embryonic day 4	No
E4.4.496	E4.4.496	E4.4	embryo	embryonic day 4	No
E4.4.497	E4.4.497	E4.4	embryo	embryonic day 4	No
E4.4.498	E4.4.498	E4.4	embryo	embryonic day 4	No
E4.4.499	E4.4.499	E4.4	embryo	embryonic day 4	No
E4.4.500	E4.4.500	E4.4	embryo	embryonic day 4	No
E4.4.501	E4.4.501	E4.4	embryo	embryonic day 4	No
E4.4.502	E4.4.502	E4.4	embryo	embryonic day 4	No
E4.4.503	E4.4.503	E4.4	embryo	embryonic day 4	No
E4.4.504	E4.4.504	E4.4	embryo	embryonic day 4	No
E4.4.505	E4.4.505	E4.4	embryo	embryonic day 4	No
E4.4.506	E4.4.506	E4.4	embryo	embryonic day 4	No
E4.4.507	E4.4.507	E4.4	embryo	embryonic day 4	No
E4.4.508	E4.4.508	E4.4	embryo	embryonic day 4	No
E4.4.509	E4.4.509	E4.4	embryo	embryonic day 4	No
E4.5.510	E4.5.510	E4.5	embryo	embryonic day 4	No
E4.5.511	E4.5.511	E4.5	embryo	embryonic day 4	No
E4.5.512	E4.5.512	E4.5	embryo	embryonic day 4	No
E4.5.513	E4.5.513	E4.5	embryo	embryonic day 4	No
E4.5.514	E4.5.514	E4.5	embryo	embryonic day 4	No
E4.5.515	E4.5.515	E4.5	embryo	embryonic day 4	No
E4.5.517	E4.5.517	E4.5	embryo	embryonic day 4	No
