Source.Name	Characteristics.individual.	Characteristics.organism.part.	Characteristics.developmental.stage.	Characteristics.treatment.
E5.2.45	E5.2.45	E5.2	embryo	embryonic day 5	No
E5.2.46	E5.2.46	E5.2	embryo	embryonic day 5	No
E5.2.47	E5.2.47	E5.2	embryo	embryonic day 5	No
E5.2.48	E5.2.48	E5.2	embryo	embryonic day 5	No
E5.3.49	E5.3.49	E5.3	embryo	embryonic day 5	No
E5.3.50	E5.3.50	E5.3	embryo	embryonic day 5	No
E5.3.51	E5.3.51	E5.3	embryo	embryonic day 5	No
E5.3.52	E5.3.52	E5.3	embryo	embryonic day 5	No
E5.3.54	E5.3.54	E5.3	embryo	embryonic day 5	No
E5.3.55	E5.3.55	E5.3	embryo	embryonic day 5	No
E5.3.56	E5.3.56	E5.3	embryo	embryonic day 5	No
E5.3.57	E5.3.57	E5.3	embryo	embryonic day 5	No
E5.3.58	E5.3.58	E5.3	embryo	embryonic day 5	No
E5.3.59	E5.3.59	E5.3	embryo	embryonic day 5	No
E5.3.60	E5.3.60	E5.3	embryo	embryonic day 5	No
E5.3.61	E5.3.61	E5.3	embryo	embryonic day 5	No
E5.37.3231	E5.37.3231	E5.37	embryo	embryonic day 5	Immunosurgery
E5.37.3232	E5.37.3232	E5.37	embryo	embryonic day 5	Immunosurgery
E5.37.3234	E5.37.3234	E5.37	embryo	embryonic day 5	Immunosurgery
E5.37.3235	E5.37.3235	E5.37	embryo	embryonic day 5	Immunosurgery
E5.37.3237	E5.37.3237	E5.37	embryo	embryonic day 5	Immunosurgery
E5.37.3239	E5.37.3239	E5.37	embryo	embryonic day 5	Immunosurgery
E5.37.3240	E5.37.3240	E5.37	embryo	embryonic day 5	Immunosurgery
E5.37.3242	E5.37.3242	E5.37	embryo	embryonic day 5	Immunosurgery
E5.37.3243	E5.37.3243	E5.37	embryo	embryonic day 5	Immunosurgery
E5.37.3245	E5.37.3245	E5.37	embryo	embryonic day 5	Immunosurgery
E5.37.3246	E5.37.3246	E5.37	embryo	embryonic day 5	Immunosurgery
E5.37.3247	E5.37.3247	E5.37	embryo	embryonic day 5	Immunosurgery
E5.37.3253	E5.37.3253	E5.37	embryo	embryonic day 5	Immunosurgery
E5.38.3255	E5.38.3255	E5.38	embryo	embryonic day 5	Immunosurgery
E5.38.3256	E5.38.3256	E5.38	embryo	embryonic day 5	Immunosurgery
E5.39.3262	E5.39.3262	E5.39	embryo	embryonic day 5	Immunosurgery
E5.39.3263	E5.39.3263	E5.39	embryo	embryonic day 5	Immunosurgery
E5.39.3264	E5.39.3264	E5.39	embryo	embryonic day 5	Immunosurgery
E5.39.3266	E5.39.3266	E5.39	embryo	embryonic day 5	Immunosurgery
E5.39.3267	E5.39.3267	E5.39	embryo	embryonic day 5	Immunosurgery
E5.39.3269	E5.39.3269	E5.39	embryo	embryonic day 5	Immunosurgery
E5.39.3274	E5.39.3274	E5.39	embryo	embryonic day 5	Immunosurgery
E5.40.3278	E5.40.3278	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3279	E5.40.3279	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3280	E5.40.3280	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3281	E5.40.3281	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3282	E5.40.3282	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3283	E5.40.3283	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3284	E5.40.3284	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3285	E5.40.3285	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3286	E5.40.3286	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3287	E5.40.3287	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3288	E5.40.3288	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3289	E5.40.3289	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3290	E5.40.3290	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3291	E5.40.3291	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3292	E5.40.3292	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3293	E5.40.3293	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3294	E5.40.3294	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3296	E5.40.3296	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3297	E5.40.3297	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3298	E5.40.3298	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3299	E5.40.3299	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3300	E5.40.3300	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3301	E5.40.3301	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3302	E5.40.3302	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3303	E5.40.3303	E5.40	embryo	embryonic day 5	Immunosurgery
E5.40.3304	E5.40.3304	E5.40	embryo	embryonic day 5	Immunosurgery
E5.41.3305	E5.41.3305	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3306	E5.41.3306	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3307	E5.41.3307	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3308	E5.41.3308	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3309	E5.41.3309	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3310	E5.41.3310	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3313	E5.41.3313	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3315	E5.41.3315	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3316	E5.41.3316	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3317	E5.41.3317	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3318	E5.41.3318	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3321	E5.41.3321	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3322	E5.41.3322	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3323	E5.41.3323	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3324	E5.41.3324	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3325	E5.41.3325	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3326	E5.41.3326	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3327	E5.41.3327	E5.41	embryo	embryonic day 5	Immunosurgery
E5.41.3328	E5.41.3328	E5.41	embryo	embryonic day 5	Immunosurgery
E5.42.3329	E5.42.3329	E5.42	embryo	embryonic day 5	No
E5.42.3330	E5.42.3330	E5.42	embryo	embryonic day 5	No
E5.42.3331	E5.42.3331	E5.42	embryo	embryonic day 5	No
E5.42.3332	E5.42.3332	E5.42	embryo	embryonic day 5	No
E5.42.3333	E5.42.3333	E5.42	embryo	embryonic day 5	No
E5.42.3334	E5.42.3334	E5.42	embryo	embryonic day 5	No
E5.42.3335	E5.42.3335	E5.42	embryo	embryonic day 5	No
E5.42.3336	E5.42.3336	E5.42	embryo	embryonic day 5	No
E5.42.3337	E5.42.3337	E5.42	embryo	embryonic day 5	No
E5.42.3340	E5.42.3340	E5.42	embryo	embryonic day 5	No
E5.43.3343	E5.43.3343	E5.43	embryo	embryonic day 5	No
E5.43.3347	E5.43.3347	E5.43	embryo	embryonic day 5	No
E5.43.3348	E5.43.3348	E5.43	embryo	embryonic day 5	No
E5.43.3349	E5.43.3349	E5.43	embryo	embryonic day 5	No
E5.43.3350	E5.43.3350	E5.43	embryo	embryonic day 5	No
E5.43.3352	E5.43.3352	E5.43	embryo	embryonic day 5	No
E5.43.3353	E5.43.3353	E5.43	embryo	embryonic day 5	No
E5.43.3354	E5.43.3354	E5.43	embryo	embryonic day 5	No
E5.43.3355	E5.43.3355	E5.43	embryo	embryonic day 5	No
E5.43.3356	E5.43.3356	E5.43	embryo	embryonic day 5	No
E5.43.3357	E5.43.3357	E5.43	embryo	embryonic day 5	No
E5.43.3358	E5.43.3358	E5.43	embryo	embryonic day 5	No
E5.43.3359	E5.43.3359	E5.43	embryo	embryonic day 5	No
E5.43.3360	E5.43.3360	E5.43	embryo	embryonic day 5	No
E5.43.3361	E5.43.3361	E5.43	embryo	embryonic day 5	No
E5.43.3362	E5.43.3362	E5.43	embryo	embryonic day 5	No
E5.43.3363	E5.43.3363	E5.43	embryo	embryonic day 5	No
E5.43.3364	E5.43.3364	E5.43	embryo	embryonic day 5	No
E5.43.3365	E5.43.3365	E5.43	embryo	embryonic day 5	No
E5.5.100	E5.5.100	E5.5	embryo	embryonic day 5	No
E5.5.101	E5.5.101	E5.5	embryo	embryonic day 5	No
E5.5.91	E5.5.91	E5.5	embryo	embryonic day 5	No
E5.5.92	E5.5.92	E5.5	embryo	embryonic day 5	No
E5.5.93	E5.5.93	E5.5	embryo	embryonic day 5	No
E5.5.94	E5.5.94	E5.5	embryo	embryonic day 5	No
E5.5.95	E5.5.95	E5.5	embryo	embryonic day 5	No
E5.5.96	E5.5.96	E5.5	embryo	embryonic day 5	No
E5.5.97	E5.5.97	E5.5	embryo	embryonic day 5	No
E5.5.98	E5.5.98	E5.5	embryo	embryonic day 5	No
E5.5.99	E5.5.99	E5.5	embryo	embryonic day 5	No
E5.6.360	E5.6.360	E5.6	embryo	embryonic day 5	No
E5.6.361	E5.6.361	E5.6	embryo	embryonic day 5	No
E5.6.362	E5.6.362	E5.6	embryo	embryonic day 5	No
E5.6.363	E5.6.363	E5.6	embryo	embryonic day 5	No
E5.6.364	E5.6.364	E5.6	embryo	embryonic day 5	No
E5.6.365	E5.6.365	E5.6	embryo	embryonic day 5	No
E5.6.368	E5.6.368	E5.6	embryo	embryonic day 5	No
E5.6.369	E5.6.369	E5.6	embryo	embryonic day 5	No
E5.6.371	E5.6.371	E5.6	embryo	embryonic day 5	No
E5.6.372	E5.6.372	E5.6	embryo	embryonic day 5	No
E5.6.373	E5.6.373	E5.6	embryo	embryonic day 5	No
E5.6.375	E5.6.375	E5.6	embryo	embryonic day 5	No
E5.6.379	E5.6.379	E5.6	embryo	embryonic day 5	No
E5.6.382	E5.6.382	E5.6	embryo	embryonic day 5	No
E5.7.674	E5.7.674	E5.7	embryo	embryonic day 5	No
E5.7.675	E5.7.675	E5.7	embryo	embryonic day 5	No
E5.7.676	E5.7.676	E5.7	embryo	embryonic day 5	No
E5.7.677	E5.7.677	E5.7	embryo	embryonic day 5	No
E5.7.678	E5.7.678	E5.7	embryo	embryonic day 5	No
E5.7.679	E5.7.679	E5.7	embryo	embryonic day 5	No
E5.7.680	E5.7.680	E5.7	embryo	embryonic day 5	No
E5.7.681	E5.7.681	E5.7	embryo	embryonic day 5	No
E5.7.682	E5.7.682	E5.7	embryo	embryonic day 5	No
E5.7.683	E5.7.683	E5.7	embryo	embryonic day 5	No
E5.7.684	E5.7.684	E5.7	embryo	embryonic day 5	No
E5.7.685	E5.7.685	E5.7	embryo	embryonic day 5	No
E5.7.686	E5.7.686	E5.7	embryo	embryonic day 5	No
E5.7.687	E5.7.687	E5.7	embryo	embryonic day 5	No
E5.7.688	E5.7.688	E5.7	embryo	embryonic day 5	No
E5.7.689	E5.7.689	E5.7	embryo	embryonic day 5	No
E5.7.690	E5.7.690	E5.7	embryo	embryonic day 5	No
E5.7.691	E5.7.691	E5.7	embryo	embryonic day 5	No
E5.7.692	E5.7.692	E5.7	embryo	embryonic day 5	No
E5.7.693	E5.7.693	E5.7	embryo	embryonic day 5	No
E5.7.694	E5.7.694	E5.7	embryo	embryonic day 5	No
E5.7.695	E5.7.695	E5.7	embryo	embryonic day 5	No
E5.7.696	E5.7.696	E5.7	embryo	embryonic day 5	No
E5.7.697	E5.7.697	E5.7	embryo	embryonic day 5	No
E5.7.698	E5.7.698	E5.7	embryo	embryonic day 5	No
E5.7.700	E5.7.700	E5.7	embryo	embryonic day 5	No
E5.7.701	E5.7.701	E5.7	embryo	embryonic day 5	No
E5.7.702	E5.7.702	E5.7	embryo	embryonic day 5	No
E5.7.703	E5.7.703	E5.7	embryo	embryonic day 5	No
E5.7.704	E5.7.704	E5.7	embryo	embryonic day 5	No
E5.7.705	E5.7.705	E5.7	embryo	embryonic day 5	No
E5.7.706	E5.7.706	E5.7	embryo	embryonic day 5	No
E5.8.915	E5.8.915	E5.8	embryo	embryonic day 5	Immunosurgery
E5.8.916	E5.8.916	E5.8	embryo	embryonic day 5	Immunosurgery
E5.8.918	E5.8.918	E5.8	embryo	embryonic day 5	Immunosurgery
E5.8.919	E5.8.919	E5.8	embryo	embryonic day 5	Immunosurgery
E5.8.920	E5.8.920	E5.8	embryo	embryonic day 5	Immunosurgery
E5.8.921	E5.8.921	E5.8	embryo	embryonic day 5	Immunosurgery
E5.8.922	E5.8.922	E5.8	embryo	embryonic day 5	Immunosurgery
E5.9.923	E5.9.923	E5.9	embryo	embryonic day 5	Immunosurgery
E5.9.924	E5.9.924	E5.9	embryo	embryonic day 5	Immunosurgery
E5.9.925	E5.9.925	E5.9	embryo	embryonic day 5	Immunosurgery
E5.9.927	E5.9.927	E5.9	embryo	embryonic day 5	Immunosurgery
E5.9.928	E5.9.928	E5.9	embryo	embryonic day 5	Immunosurgery
E5.9.929	E5.9.929	E5.9	embryo	embryonic day 5	Immunosurgery
E5.9.930	E5.9.930	E5.9	embryo	embryonic day 5	Immunosurgery
E5.9.931	E5.9.931	E5.9	embryo	embryonic day 5	Immunosurgery
E5.early.31.3058	E5.early.31.3058	E5.early.31	embryo	embryonic day 5	No
E5.early.31.3059	E5.early.31.3059	E5.early.31	embryo	embryonic day 5	No
E5.early.31.3060	E5.early.31.3060	E5.early.31	embryo	embryonic day 5	No
E5.early.31.3062	E5.early.31.3062	E5.early.31	embryo	embryonic day 5	No
E5.early.31.3064	E5.early.31.3064	E5.early.31	embryo	embryonic day 5	No
E5.early.31.3068	E5.early.31.3068	E5.early.31	embryo	embryonic day 5	No
E5.early.31.3069	E5.early.31.3069	E5.early.31	embryo	embryonic day 5	No
E5.early.31.3070	E5.early.31.3070	E5.early.31	embryo	embryonic day 5	No
E5.early.31.3071	E5.early.31.3071	E5.early.31	embryo	embryonic day 5	No
E5.early.31.3072	E5.early.31.3072	E5.early.31	embryo	embryonic day 5	No
E5.early.36.3215	E5.early.36.3215	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3216	E5.early.36.3216	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3217	E5.early.36.3217	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3218	E5.early.36.3218	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3219	E5.early.36.3219	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3220	E5.early.36.3220	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3221	E5.early.36.3221	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3222	E5.early.36.3222	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3223	E5.early.36.3223	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3224	E5.early.36.3224	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3225	E5.early.36.3225	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3226	E5.early.36.3226	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3227	E5.early.36.3227	E5.early.36	embryo	embryonic day 5	No
E5.early.36.3228	E5.early.36.3228	E5.early.36	embryo	embryonic day 5	No
E6.1.72	E6.1.72	E6.1	embryo	embryonic day 6	No
E6.1.73	E6.1.73	E6.1	embryo	embryonic day 6	No
E6.1.74	E6.1.74	E6.1	embryo	embryonic day 6	No
E6.1.77	E6.1.77	E6.1	embryo	embryonic day 6	No
E6.1.78	E6.1.78	E6.1	embryo	embryonic day 6	No
E6.1.79	E6.1.79	E6.1	embryo	embryonic day 6	No
E6.1.80	E6.1.80	E6.1	embryo	embryonic day 6	No
E6.1.81	E6.1.81	E6.1	embryo	embryonic day 6	No
E6.1.82	E6.1.82	E6.1	embryo	embryonic day 6	No
E6.1.83	E6.1.83	E6.1	embryo	embryonic day 6	No
E6.1.84	E6.1.84	E6.1	embryo	embryonic day 6	No
E6.1.85	E6.1.85	E6.1	embryo	embryonic day 6	No
E6.1.86	E6.1.86	E6.1	embryo	embryonic day 6	No
E6.1.88	E6.1.88	E6.1	embryo	embryonic day 6	No
E6.1.89	E6.1.89	E6.1	embryo	embryonic day 6	No
E6.1.90	E6.1.90	E6.1	embryo	embryonic day 6	No
E6.10.1043	E6.10.1043	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1044	E6.10.1044	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1045	E6.10.1045	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1046	E6.10.1046	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1047	E6.10.1047	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1048	E6.10.1048	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1049	E6.10.1049	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1050	E6.10.1050	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1051	E6.10.1051	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1052	E6.10.1052	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1055	E6.10.1055	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1056	E6.10.1056	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1057	E6.10.1057	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1058	E6.10.1058	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1060	E6.10.1060	E6.10	embryo	embryonic day 6	Immunosurgery
E6.10.1061	E6.10.1061	E6.10	embryo	embryonic day 6	Immunosurgery
E6.11.1064	E6.11.1064	E6.11	embryo	embryonic day 6	Immunosurgery
E6.11.1065	E6.11.1065	E6.11	embryo	embryonic day 6	Immunosurgery
E6.11.1068	E6.11.1068	E6.11	embryo	embryonic day 6	Immunosurgery
E6.11.1070	E6.11.1070	E6.11	embryo	embryonic day 6	Immunosurgery
E6.11.1071	E6.11.1071	E6.11	embryo	embryonic day 6	Immunosurgery
E6.11.1074	E6.11.1074	E6.11	embryo	embryonic day 6	Immunosurgery
E6.11.1076	E6.11.1076	E6.11	embryo	embryonic day 6	Immunosurgery
E6.12.1266	E6.12.1266	E6.12	embryo	embryonic day 6	No
E6.12.1267	E6.12.1267	E6.12	embryo	embryonic day 6	No
E6.12.1268	E6.12.1268	E6.12	embryo	embryonic day 6	No
E6.12.1269	E6.12.1269	E6.12	embryo	embryonic day 6	No
E6.12.1270	E6.12.1270	E6.12	embryo	embryonic day 6	No
E6.12.1271	E6.12.1271	E6.12	embryo	embryonic day 6	No
E6.12.1272	E6.12.1272	E6.12	embryo	embryonic day 6	No
E6.12.1273	E6.12.1273	E6.12	embryo	embryonic day 6	No
E6.12.1274	E6.12.1274	E6.12	embryo	embryonic day 6	No
E6.12.1275	E6.12.1275	E6.12	embryo	embryonic day 6	No
E6.12.1276	E6.12.1276	E6.12	embryo	embryonic day 6	No
E6.12.1277	E6.12.1277	E6.12	embryo	embryonic day 6	No
E6.12.1278	E6.12.1278	E6.12	embryo	embryonic day 6	No
E6.12.1279	E6.12.1279	E6.12	embryo	embryonic day 6	No
E6.12.1280	E6.12.1280	E6.12	embryo	embryonic day 6	No
E6.12.1281	E6.12.1281	E6.12	embryo	embryonic day 6	No
E6.12.1286	E6.12.1286	E6.12	embryo	embryonic day 6	No
E6.12.1287	E6.12.1287	E6.12	embryo	embryonic day 6	No
E6.12.1288	E6.12.1288	E6.12	embryo	embryonic day 6	No
E6.12.1289	E6.12.1289	E6.12	embryo	embryonic day 6	No
E6.12.1290	E6.12.1290	E6.12	embryo	embryonic day 6	No
E6.12.1291	E6.12.1291	E6.12	embryo	embryonic day 6	No
E6.12.1292	E6.12.1292	E6.12	embryo	embryonic day 6	No
E6.12.1293	E6.12.1293	E6.12	embryo	embryonic day 6	No
E6.12.1294	E6.12.1294	E6.12	embryo	embryonic day 6	No
E6.12.1295	E6.12.1295	E6.12	embryo	embryonic day 6	No
E6.12.1296	E6.12.1296	E6.12	embryo	embryonic day 6	No
E6.12.1297	E6.12.1297	E6.12	embryo	embryonic day 6	No
E6.12.1482	E6.12.1482	E6.12	embryo	embryonic day 6	No
E6.12.1483	E6.12.1483	E6.12	embryo	embryonic day 6	No
E6.12.1484	E6.12.1484	E6.12	embryo	embryonic day 6	No
E6.12.1485	E6.12.1485	E6.12	embryo	embryonic day 6	No
E6.12.1486	E6.12.1486	E6.12	embryo	embryonic day 6	No
E6.12.1487	E6.12.1487	E6.12	embryo	embryonic day 6	No
E6.12.1488	E6.12.1488	E6.12	embryo	embryonic day 6	No
E6.13.1362	E6.13.1362	E6.13	embryo	embryonic day 6	No
E6.13.1363	E6.13.1363	E6.13	embryo	embryonic day 6	No
E6.13.1364	E6.13.1364	E6.13	embryo	embryonic day 6	No
E6.13.1365	E6.13.1365	E6.13	embryo	embryonic day 6	No
E6.13.1366	E6.13.1366	E6.13	embryo	embryonic day 6	No
E6.13.1367	E6.13.1367	E6.13	embryo	embryonic day 6	No
E6.13.1368	E6.13.1368	E6.13	embryo	embryonic day 6	No
E6.13.1369	E6.13.1369	E6.13	embryo	embryonic day 6	No
E6.13.1370	E6.13.1370	E6.13	embryo	embryonic day 6	No
E6.13.1371	E6.13.1371	E6.13	embryo	embryonic day 6	No
E6.13.1372	E6.13.1372	E6.13	embryo	embryonic day 6	No
E6.13.1373	E6.13.1373	E6.13	embryo	embryonic day 6	No
E6.13.1374	E6.13.1374	E6.13	embryo	embryonic day 6	No
E6.13.1375	E6.13.1375	E6.13	embryo	embryonic day 6	No
E6.13.1376	E6.13.1376	E6.13	embryo	embryonic day 6	No
E6.13.1377	E6.13.1377	E6.13	embryo	embryonic day 6	No
E6.13.1378	E6.13.1378	E6.13	embryo	embryonic day 6	No
E6.13.1379	E6.13.1379	E6.13	embryo	embryonic day 6	No
E6.13.1380	E6.13.1380	E6.13	embryo	embryonic day 6	No
E6.13.1381	E6.13.1381	E6.13	embryo	embryonic day 6	No
E6.13.1382	E6.13.1382	E6.13	embryo	embryonic day 6	No
E6.13.1383	E6.13.1383	E6.13	embryo	embryonic day 6	No
E6.13.1384	E6.13.1384	E6.13	embryo	embryonic day 6	No
E6.13.1385	E6.13.1385	E6.13	embryo	embryonic day 6	No
E6.13.1386	E6.13.1386	E6.13	embryo	embryonic day 6	No
E6.13.1387	E6.13.1387	E6.13	embryo	embryonic day 6	No
E6.13.1388	E6.13.1388	E6.13	embryo	embryonic day 6	No
E6.13.1389	E6.13.1389	E6.13	embryo	embryonic day 6	No
E6.13.1390	E6.13.1390	E6.13	embryo	embryonic day 6	No
E6.13.1391	E6.13.1391	E6.13	embryo	embryonic day 6	No
E6.13.1392	E6.13.1392	E6.13	embryo	embryonic day 6	No
E6.13.1393	E6.13.1393	E6.13	embryo	embryonic day 6	No
E6.13.1394	E6.13.1394	E6.13	embryo	embryonic day 6	No
E6.13.1395	E6.13.1395	E6.13	embryo	embryonic day 6	No
E6.13.1396	E6.13.1396	E6.13	embryo	embryonic day 6	No
E6.13.1397	E6.13.1397	E6.13	embryo	embryonic day 6	No
E6.13.1398	E6.13.1398	E6.13	embryo	embryonic day 6	No
E6.13.1399	E6.13.1399	E6.13	embryo	embryonic day 6	No
E6.13.1400	E6.13.1400	E6.13	embryo	embryonic day 6	No
E6.14.1402	E6.14.1402	E6.14	embryo	embryonic day 6	No
E6.14.1403	E6.14.1403	E6.14	embryo	embryonic day 6	No
E6.14.1404	E6.14.1404	E6.14	embryo	embryonic day 6	No
E6.14.1405	E6.14.1405	E6.14	embryo	embryonic day 6	No
E6.14.1406	E6.14.1406	E6.14	embryo	embryonic day 6	No
E6.14.1407	E6.14.1407	E6.14	embryo	embryonic day 6	No
E6.14.1409	E6.14.1409	E6.14	embryo	embryonic day 6	No
E6.14.1410	E6.14.1410	E6.14	embryo	embryonic day 6	No
E6.14.1411	E6.14.1411	E6.14	embryo	embryonic day 6	No
E6.14.1412	E6.14.1412	E6.14	embryo	embryonic day 6	No
E6.14.1413	E6.14.1413	E6.14	embryo	embryonic day 6	No
E6.14.1414	E6.14.1414	E6.14	embryo	embryonic day 6	No
E6.14.1415	E6.14.1415	E6.14	embryo	embryonic day 6	No
E6.14.1416	E6.14.1416	E6.14	embryo	embryonic day 6	No
E6.14.1417	E6.14.1417	E6.14	embryo	embryonic day 6	No
E6.14.1418	E6.14.1418	E6.14	embryo	embryonic day 6	No
E6.14.1419	E6.14.1419	E6.14	embryo	embryonic day 6	No
E6.14.1420	E6.14.1420	E6.14	embryo	embryonic day 6	No
E6.14.1421	E6.14.1421	E6.14	embryo	embryonic day 6	No
E6.14.1422	E6.14.1422	E6.14	embryo	embryonic day 6	No
E6.14.1423	E6.14.1423	E6.14	embryo	embryonic day 6	No
E6.14.1424	E6.14.1424	E6.14	embryo	embryonic day 6	No
E6.14.1425	E6.14.1425	E6.14	embryo	embryonic day 6	No
E6.14.1426	E6.14.1426	E6.14	embryo	embryonic day 6	No
E6.14.1427	E6.14.1427	E6.14	embryo	embryonic day 6	No
E6.14.1428	E6.14.1428	E6.14	embryo	embryonic day 6	No
E6.14.1429	E6.14.1429	E6.14	embryo	embryonic day 6	No
E6.14.1430	E6.14.1430	E6.14	embryo	embryonic day 6	No
E6.14.1431	E6.14.1431	E6.14	embryo	embryonic day 6	No
E6.14.1432	E6.14.1432	E6.14	embryo	embryonic day 6	No
E6.14.1433	E6.14.1433	E6.14	embryo	embryonic day 6	No
E6.15.1434	E6.15.1434	E6.15	embryo	embryonic day 6	No
E6.15.1435	E6.15.1435	E6.15	embryo	embryonic day 6	No
E6.15.1436	E6.15.1436	E6.15	embryo	embryonic day 6	No
E6.15.1437	E6.15.1437	E6.15	embryo	embryonic day 6	No
E6.15.1438	E6.15.1438	E6.15	embryo	embryonic day 6	No
E6.15.1439	E6.15.1439	E6.15	embryo	embryonic day 6	No
E6.15.1441	E6.15.1441	E6.15	embryo	embryonic day 6	No
E6.15.1442	E6.15.1442	E6.15	embryo	embryonic day 6	No
E6.15.1443	E6.15.1443	E6.15	embryo	embryonic day 6	No
E6.15.1445	E6.15.1445	E6.15	embryo	embryonic day 6	No
E6.15.1446	E6.15.1446	E6.15	embryo	embryonic day 6	No
E6.15.1447	E6.15.1447	E6.15	embryo	embryonic day 6	No
E6.15.1450	E6.15.1450	E6.15	embryo	embryonic day 6	No
E6.15.1451	E6.15.1451	E6.15	embryo	embryonic day 6	No
E6.15.1453	E6.15.1453	E6.15	embryo	embryonic day 6	No
E6.15.1454	E6.15.1454	E6.15	embryo	embryonic day 6	No
E6.15.1455	E6.15.1455	E6.15	embryo	embryonic day 6	No
E6.15.1457	E6.15.1457	E6.15	embryo	embryonic day 6	No
E6.15.1458	E6.15.1458	E6.15	embryo	embryonic day 6	No
E6.15.1460	E6.15.1460	E6.15	embryo	embryonic day 6	No
E6.15.1461	E6.15.1461	E6.15	embryo	embryonic day 6	No
E6.15.1462	E6.15.1462	E6.15	embryo	embryonic day 6	No
E6.15.1463	E6.15.1463	E6.15	embryo	embryonic day 6	No
E6.15.1465	E6.15.1465	E6.15	embryo	embryonic day 6	No
E6.15.1466	E6.15.1466	E6.15	embryo	embryonic day 6	No
E6.15.1467	E6.15.1467	E6.15	embryo	embryonic day 6	No
E6.15.1468	E6.15.1468	E6.15	embryo	embryonic day 6	No
E6.15.1469	E6.15.1469	E6.15	embryo	embryonic day 6	No
E6.15.1470	E6.15.1470	E6.15	embryo	embryonic day 6	No
E6.15.1471	E6.15.1471	E6.15	embryo	embryonic day 6	No
