Experiment	center	population
ERX162870	ERX162870	Uppsala University	CEU
ERX163161	ERX163161	Leiden University Medical Center	GBR
ERX163145	ERX163145	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	YRI
ERX163171	ERX163171	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	YRI
ERX162928	ERX162928	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX163039	ERX163039	Max Planck Institute for Molecular Genetics	FIN
ERX162716	ERX162716	University of Geneva	TSI
ERX163159	ERX163159	University of Geneva	TSI
ERX162809	ERX162809	Centre for Genomic Regulation, Barcelona	FIN
ERX163053	ERX163053	Centre for Genomic Regulation, Barcelona	FIN
ERX162982	ERX162982	Max Planck Institute for Molecular Genetics	GBR
ERX163040	ERX163040	Institute of Clinical Molecular Biology, University of Kiel, Germany	CEU
ERX162747	ERX162747	Uppsala University	TSI
ERX163105	ERX163105	Centre for Genomic Regulation, Barcelona	CEU
ERX162877	ERX162877	University of Geneva	CEU
ERX162739	ERX162739	Max Planck Institute for Molecular Genetics	GBR
ERX162791	ERX162791	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	TSI
ERX163167	ERX163167	Uppsala University	CEU
ERX163112	ERX163112	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX162826	ERX162826	Leiden University Medical Center	TSI
ERX162969	ERX162969	University of Geneva	GBR
ERX163078	ERX163078	Uppsala University	GBR
ERX163129	ERX163129	Uppsala University	YRI
ERX162867	ERX162867	University of Geneva	YRI
ERX162714	ERX162714	Uppsala University	TSI
ERX162808	ERX162808	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	TSI
ERX162985	ERX162985	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX179513	ERX179513	University of Geneva	YRI
ERX179695	ERX179695	University of Geneva	YRI
ERX179539	ERX179539	University of Geneva	CEU
ERX179574	ERX179574	University of Geneva	CEU
ERX179673	ERX179673	University of Geneva	CEU
ERX179632	ERX179632	University of Geneva	YRI
ERX179627	ERX179627	University of Geneva	CEU
ERX179688	ERX179688	University of Geneva	YRI
ERX179546	ERX179546	University of Geneva	CEU
ERX179660	ERX179660	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX179623	ERX179623	University of Geneva	YRI
ERX179504	ERX179504	University of Geneva	CEU
ERX179682	ERX179682	University of Geneva	YRI
ERX179689	ERX179689	University of Geneva	GBR
ERX179693	ERX179693	Leiden University Medical Center	GBR
ERX179583	ERX179583	University of Geneva	YRI
ERX179581	ERX179581	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	FIN
ERX179654	ERX179654	University of Geneva	CEU
ERX179657	ERX179657	University of Geneva	YRI
ERX179524	ERX179524	University of Geneva	YRI
ERX179650	ERX179650	Max Planck Institute for Molecular Genetics	FIN
ERX179648	ERX179648	University of Geneva	CEU
ERX179587	ERX179587	Max Planck Institute for Molecular Genetics	GBR
ERX179506	ERX179506	University of Geneva	CEU
ERX179669	ERX179669	University of Geneva	YRI
ERX179697	ERX179697	University of Geneva	YRI
ERX179674	ERX179674	University of Geneva	YRI
ERX179592	ERX179592	University of Geneva	YRI
ERX179662	ERX179662	University of Geneva	GBR
ERX179683	ERX179683	Centro Nacional de Análisis Genómico	GBR
ERX179568	ERX179568	University of Geneva	GBR
ERX179694	ERX179694	University of Geneva	YRI
ERX179620	ERX179620	University of Geneva	CEU
ERX179613	ERX179613	University of Geneva	CEU
ERX179678	ERX179678	University of Geneva	FIN
ERX179575	ERX179575	University of Geneva	CEU
ERX179628	ERX179628	University of Geneva	CEU
ERX179538	ERX179538	University of Geneva	GBR
ERX179639	ERX179639	Leiden University Medical Center	FIN
ERX179701	ERX179701	Uppsala University	FIN
ERX179509	ERX179509	University of Geneva	CEU
ERX179645	ERX179645	University of Geneva	CEU
ERX179615	ERX179615	University of Geneva	YRI
ERX179602	ERX179602	University of Geneva	TSI
ERX179692	ERX179692	University of Geneva	FIN
ERX179671	ERX179671	University of Geneva	YRI
ERX179655	ERX179655	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX179651	ERX179651	University of Geneva	FIN
ERX179622	ERX179622	University of Geneva	YRI
ERX179564	ERX179564	Uppsala University	GBR
ERX179633	ERX179633	University of Geneva	YRI
ERX179531	ERX179531	University of Geneva	CEU
ERX179677	ERX179677	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX179597	ERX179597	University of Geneva	FIN
ERX179614	ERX179614	University of Geneva	CEU
ERX179530	ERX179530	University of Geneva	YRI
ERX179642	ERX179642	University of Geneva	YRI
ERX179680	ERX179680	University of Geneva	CEU
ERX179666	ERX179666	University of Geneva	YRI
ERX179696	ERX179696	University of Geneva	CEU
ERX179649	ERX179649	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX162767	ERX162767	Max Planck Institute for Molecular Genetics	FIN
ERX163156	ERX163156	Uppsala University	CEU
ERX162752	ERX162752	Max Planck Institute for Molecular Genetics	TSI
ERX163037	ERX163037	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX163014	ERX163014	University of Geneva	YRI
ERX162741	ERX162741	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	TSI
ERX163081	ERX163081	Centre for Genomic Regulation, Barcelona	GBR
ERX163102	ERX163102	Centre for Genomic Regulation, Barcelona	TSI
ERX162968	ERX162968	Centre for Genomic Regulation, Barcelona	TSI
ERX162848	ERX162848	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX162913	ERX162913	University of Geneva	FIN
ERX162825	ERX162825	Centre for Genomic Regulation, Barcelona	GBR
ERX163092	ERX163092	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX162815	ERX162815	Max Planck Institute for Molecular Genetics	GBR
ERX162917	ERX162917	Max Planck Institute for Molecular Genetics	YRI
ERX163016	ERX163016	Centre for Genomic Regulation, Barcelona	GBR
ERX163006	ERX163006	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX162763	ERX162763	Centre for Genomic Regulation, Barcelona	TSI
ERX162926	ERX162926	Max Planck Institute for Molecular Genetics	CEU
ERX163138	ERX163138	Leiden University Medical Center	FIN
ERX162958	ERX162958	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	FIN
ERX162885	ERX162885	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX163080	ERX163080	Uppsala University	YRI
ERX162978	ERX162978	University of Geneva	CEU
ERX163131	ERX163131	Centre for Genomic Regulation, Barcelona	FIN
ERX162865	ERX162865	University of Geneva	YRI
ERX162837	ERX162837	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX162780	ERX162780	University of Geneva	YRI
ERX162984	ERX162984	Centre for Genomic Regulation, Barcelona	TSI
ERX162980	ERX162980	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX162891	ERX162891	Max Planck Institute for Molecular Genetics	GBR
ERX162889	ERX162889	University of Geneva	GBR
ERX162966	ERX162966	University of Geneva	GBR
ERX162783	ERX162783	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX162991	ERX162991	Uppsala University	GBR
ERX163049	ERX163049	University of Geneva	TSI
ERX162771	ERX162771	Max Planck Institute for Molecular Genetics	FIN
ERX162963	ERX162963	Leiden University Medical Center	YRI
ERX163108	ERX163108	Uppsala University	YRI
ERX162862	ERX162862	Max Planck Institute for Molecular Genetics	CEU
ERX162769	ERX162769	Centre for Genomic Regulation, Barcelona	TSI
ERX162904	ERX162904	Centre for Genomic Regulation, Barcelona	CEU
ERX162881	ERX162881	Max Planck Institute for Molecular Genetics	YRI
ERX162880	ERX162880	Centre for Genomic Regulation, Barcelona	TSI
ERX163091	ERX163091	Leiden University Medical Center	FIN
ERX163025	ERX163025	Centre for Genomic Regulation, Barcelona	TSI
ERX162964	ERX162964	Max Planck Institute for Molecular Genetics	CEU
ERX163075	ERX163075	Centre for Genomic Regulation, Barcelona	YRI
ERX163038	ERX163038	Max Planck Institute for Molecular Genetics	CEU
ERX163072	ERX163072	Centre for Genomic Regulation, Barcelona	FIN
ERX162830	ERX162830	University of Geneva	GBR
ERX163155	ERX163155	University of Geneva	CEU
ERX162786	ERX162786	University of Geneva	GBR
ERX162986	ERX162986	Centre for Genomic Regulation, Barcelona	TSI
ERX162806	ERX162806	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX163123	ERX163123	University of Geneva	FIN
ERX163099	ERX163099	Institute of Clinical Molecular Biology, University of Kiel, Germany	CEU
ERX163168	ERX163168	Uppsala University	CEU
ERX162990	ERX162990	Institute of Clinical Molecular Biology, University of Kiel, Germany	CEU
ERX163074	ERX163074	Leiden University Medical Center	YRI
ERX163158	ERX163158	University of Geneva	TSI
ERX163094	ERX163094	University of Geneva	TSI
ERX162851	ERX162851	University of Geneva	FIN
ERX162974	ERX162974	Uppsala University	TSI
ERX162748	ERX162748	Max Planck Institute for Molecular Genetics	GBR
ERX162876	ERX162876	University of Geneva	CEU
ERX163121	ERX163121	Centre for Genomic Regulation, Barcelona	FIN
ERX162954	ERX162954	Max Planck Institute for Molecular Genetics	FIN
ERX162994	ERX162994	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX163110	ERX163110	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX163136	ERX163136	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	FIN
ERX162765	ERX162765	Institute of Clinical Molecular Biology, University of Kiel, Germany	CEU
ERX162798	ERX162798	University of Geneva	YRI
ERX163020	ERX163020	University of Geneva	CEU
ERX162856	ERX162856	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	YRI
ERX162949	ERX162949	Leiden University Medical Center	FIN
ERX163071	ERX163071	Leiden University Medical Center	CEU
ERX162916	ERX162916	University of Geneva	CEU
ERX162760	ERX162760	Centre for Genomic Regulation, Barcelona	GBR
ERX163104	ERX163104	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	YRI
ERX162965	ERX162965	University of Geneva	YRI
ERX162863	ERX162863	Uppsala University	YRI
ERX163122	ERX163122	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX162987	ERX162987	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX179595	ERX179595	University of Geneva	GBR
ERX179619	ERX179619	University of Geneva	YRI
ERX179562	ERX179562	University of Geneva	CEU
ERX179534	ERX179534	Max Planck Institute for Molecular Genetics	CEU
ERX179559	ERX179559	University of Geneva	TSI
ERX179588	ERX179588	University of Geneva	GBR
ERX179604	ERX179604	University of Geneva	CEU
ERX179665	ERX179665	University of Geneva	YRI
ERX179707	ERX179707	Uppsala University	CEU
ERX179606	ERX179606	University of Geneva	CEU
ERX179603	ERX179603	University of Geneva	CEU
ERX179605	ERX179605	University of Geneva	YRI
ERX179517	ERX179517	University of Geneva	CEU
ERX179611	ERX179611	University of Geneva	CEU
ERX179652	ERX179652	Institute of Clinical Molecular Biology, University of Kiel, Germany	CEU
ERX179626	ERX179626	University of Geneva	CEU
ERX179599	ERX179599	University of Geneva	YRI
ERX179646	ERX179646	University of Geneva	YRI
ERX179554	ERX179554	University of Geneva	YRI
ERX179511	ERX179511	University of Geneva	YRI
ERX179549	ERX179549	University of Geneva	YRI
ERX179617	ERX179617	University of Geneva	TSI
ERX179638	ERX179638	University of Geneva	CEU
ERX179527	ERX179527	University of Geneva	GBR
ERX179686	ERX179686	University of Geneva	FIN
ERX179505	ERX179505	University of Geneva	YRI
ERX179636	ERX179636	University of Geneva	YRI
ERX179698	ERX179698	Leiden University Medical Center	CEU
ERX179705	ERX179705	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	CEU
ERX179621	ERX179621	University of Geneva	CEU
ERX179589	ERX179589	University of Geneva	CEU
ERX179675	ERX179675	University of Geneva	TSI
ERX179580	ERX179580	Leiden University Medical Center	CEU
ERX179573	ERX179573	University of Geneva	CEU
ERX179584	ERX179584	University of Geneva	YRI
ERX179572	ERX179572	University of Geneva	CEU
