Experiment	center	population
ERX163010	ERX163010	Uppsala University	TSI
ERX162915	ERX162915	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX163048	ERX163048	Max Planck Institute for Molecular Genetics	TSI
ERX163036	ERX163036	Leiden University Medical Center	YRI
ERX163002	ERX163002	Max Planck Institute for Molecular Genetics	GBR
ERX162868	ERX162868	Centre for Genomic Regulation, Barcelona	YRI
ERX162961	ERX162961	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	CEU
ERX163001	ERX163001	Uppsala University	YRI
ERX163012	ERX163012	Max Planck Institute for Molecular Genetics	CEU
ERX162975	ERX162975	University of Geneva	FIN
ERX162820	ERX162820	Uppsala University	CEU
ERX162821	ERX162821	Max Planck Institute for Molecular Genetics	CEU
ERX163160	ERX163160	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX163027	ERX163027	Centre for Genomic Regulation, Barcelona	FIN
ERX162813	ERX162813	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX162902	ERX162902	Centre for Genomic Regulation, Barcelona	YRI
ERX162839	ERX162839	Centre for Genomic Regulation, Barcelona	YRI
ERX163114	ERX163114	Max Planck Institute for Molecular Genetics	FIN
ERX162832	ERX162832	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX163064	ERX163064	Centre for Genomic Regulation, Barcelona	GBR
ERX162833	ERX162833	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	TSI
ERX163115	ERX163115	Centre for Genomic Regulation, Barcelona	GBR
ERX162896	ERX162896	Max Planck Institute for Molecular Genetics	TSI
ERX162942	ERX162942	Leiden University Medical Center	FIN
ERX163059	ERX163059	Max Planck Institute for Molecular Genetics	TSI
ERX163146	ERX163146	Max Planck Institute for Molecular Genetics	YRI
ERX162850	ERX162850	Centre for Genomic Regulation, Barcelona	FIN
ERX162871	ERX162871	Institute of Clinical Molecular Biology, University of Kiel, Germany	CEU
ERX163163	ERX163163	University of Geneva	CEU
ERX162981	ERX162981	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	YRI
ERX163017	ERX163017	Uppsala University	CEU
ERX163157	ERX163157	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX162929	ERX162929	University of Geneva	FIN
ERX163051	ERX163051	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX163070	ERX163070	Centre for Genomic Regulation, Barcelona	YRI
ERX163084	ERX163084	Uppsala University	TSI
ERX162959	ERX162959	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX162912	ERX162912	University of Geneva	CEU
ERX162997	ERX162997	Max Planck Institute for Molecular Genetics	YRI
ERX163033	ERX163033	Centre for Genomic Regulation, Barcelona	TSI
ERX163124	ERX163124	University of Geneva	GBR
ERX163148	ERX163148	University of Geneva	FIN
ERX162894	ERX162894	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX162818	ERX162818	University of Geneva	GBR
ERX162793	ERX162793	University of Geneva	TSI
ERX163165	ERX163165	Centre for Genomic Regulation, Barcelona	TSI
ERX163127	ERX163127	Leiden University Medical Center	GBR
ERX162807	ERX162807	Institute of Clinical Molecular Biology, University of Kiel, Germany	CEU
ERX163068	ERX163068	University of Geneva	GBR
ERX163162	ERX163162	Uppsala University	CEU
ERX162892	ERX162892	Uppsala University	GBR
ERX162952	ERX162952	University of Geneva	FIN
ERX162936	ERX162936	Centre for Genomic Regulation, Barcelona	GBR
ERX162899	ERX162899	Max Planck Institute for Molecular Genetics	CEU
ERX179560	ERX179560	University of Geneva	CEU
ERX179512	ERX179512	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX179537	ERX179537	University of Geneva	GBR
ERX179533	ERX179533	University of Geneva	TSI
ERX179510	ERX179510	University of Geneva	YRI
ERX179565	ERX179565	University of Geneva	CEU
ERX179555	ERX179555	University of Geneva	TSI
ERX179516	ERX179516	University of Geneva	CEU
ERX179556	ERX179556	University of Geneva	TSI
ERX179532	ERX179532	University of Geneva	CEU
ERX162725	ERX162725	Leiden University Medical Center	CEU
