LibraryName	cell_cycle_stage	cell
G2M_cell57	G2M_cell57	G2M	cell57
G1_cell79	G1_cell79	G1	cell79
S_cell75	S_cell75	S	cell75
G2M_cell41	G2M_cell41	G2M	cell41
S_cell69	S_cell69	S	cell69
S_cell48	S_cell48	S	cell48
G1_cell78	G1_cell78	G1	cell78
G2M_cell29	G2M_cell29	G2M	cell29
G2M_cell9	G2M_cell9	G2M	cell9
S_cell28	S_cell28	S	cell28
S_cell1	S_cell1	S	cell1
S_cell25	S_cell25	S	cell25
G2M_cell63	G2M_cell63	G2M	cell63
G2M_cell24	G2M_cell24	G2M	cell24
G1_cell31	G1_cell31	G1	cell31
G1_cell72	G1_cell72	G1	cell72
G1_cell42	G1_cell42	G1	cell42
G2M_cell52	G2M_cell52	G2M	cell52
S_cell84	S_cell84	S	cell84
G2M_cell92	G2M_cell92	G2M	cell92
G1_cell22	G1_cell22	G1	cell22
G2M_cell60	G2M_cell60	G2M	cell60
G1_cell89	G1_cell89	G1	cell89
G2M_cell20	G2M_cell20	G2M	cell20
G2M_cell28	G2M_cell28	G2M	cell28
G1_cell39	G1_cell39	G1	cell39
S_cell41	S_cell41	S	cell41
G2M_cell2	G2M_cell2	G2M	cell2
S_cell3	S_cell3	S	cell3
G1_cell43	G1_cell43	G1	cell43
G1_cell74	G1_cell74	G1	cell74
G1_cell53	G1_cell53	G1	cell53
G1_cell57	G1_cell57	G1	cell57
S_cell73	S_cell73	S	cell73
G1_cell51	G1_cell51	G1	cell51
G1_cell93	G1_cell93	G1	cell93
G1_cell30	G1_cell30	G1	cell30
G1_cell86	G1_cell86	G1	cell86
G1_cell35	G1_cell35	G1	cell35
S_cell57	S_cell57	S	cell57
S_cell7	S_cell7	S	cell7
G1_cell96	G1_cell96	G1	cell96
G1_cell15	G1_cell15	G1	cell15
G1_cell92	G1_cell92	G1	cell92
G2M_cell16	G2M_cell16	G2M	cell16
G2M_cell3	G2M_cell3	G2M	cell3
G2M_cell84	G2M_cell84	G2M	cell84
G1_cell45	G1_cell45	G1	cell45
S_cell35	S_cell35	S	cell35
G2M_cell59	G2M_cell59	G2M	cell59
G1_cell21	G1_cell21	G1	cell21
G1_cell44	G1_cell44	G1	cell44
S_cell43	S_cell43	S	cell43
G2M_cell50	G2M_cell50	G2M	cell50
G1_cell7	G1_cell7	G1	cell7
G1_cell82	G1_cell82	G1	cell82
S_cell14	S_cell14	S	cell14
G1_cell58	G1_cell58	G1	cell58
S_cell30	S_cell30	S	cell30
G2M_cell36	G2M_cell36	G2M	cell36
G2M_cell19	G2M_cell19	G2M	cell19
S_cell83	S_cell83	S	cell83
S_cell63	S_cell63	S	cell63
S_cell47	S_cell47	S	cell47
G2M_cell27	G2M_cell27	G2M	cell27
G2M_cell74	G2M_cell74	G2M	cell74
S_cell15	S_cell15	S	cell15
G1_cell87	G1_cell87	G1	cell87
S_cell91	S_cell91	S	cell91
G1_cell56	G1_cell56	G1	cell56
G2M_cell94	G2M_cell94	G2M	cell94
G1_cell83	G1_cell83	G1	cell83
S_cell70	S_cell70	S	cell70
G2M_cell47	G2M_cell47	G2M	cell47
G1_cell65	G1_cell65	G1	cell65
G1_cell34	G1_cell34	G1	cell34
G1_cell73	G1_cell73	G1	cell73
S_cell34	S_cell34	S	cell34
G1_cell23	G1_cell23	G1	cell23
G1_cell29	G1_cell29	G1	cell29
S_cell31	S_cell31	S	cell31
G1_cell94	G1_cell94	G1	cell94
G2M_cell61	G2M_cell61	G2M	cell61
